ipa,word
c_d171,OPENDATA
c_e625,Open data
c_h294,Statistiche e OpenData
c_g161,Open Data
c_i714,Open Data
c_a324,Open Data
c_b158,Open Data
c_l097,Open Data
c_h607,Open Data
c_d761,Portale Open Data
c_l886,Open Data
c_i411,Open Data
c_c773,Opendata
c_i407,Regolamento accesso open data
c_g419,Open Data
c_g337,Open Data
c_h754,Open Data
c_e921,Open data
c_l203,Open data
c_g273,Open Data
c_d371,Open Data
c_b476,Sezione Open Data
c_d388,Open Data
c_f835,Open Data
c_b525,Open Data
c_a132,Open Data
c_l096,Open Data
c_l147,Open Data
c_c573,"Sistema informativo territoriale, cartografia, statistiche, Open Data"
c_m351,Open Data
c_a372,Open Data
c_e624,Open Data
c_a734,Open Data
c_g822,Bdap - Open Data
c_e370,Dati aperti - Open data
c_e757,Open Data
c_c400,Open Data
c_b354,Open Data Open Service
c_g681,Open Data
c_f839,Open Data
c_c154,Open Data
c_i627,RL Open Data
c_c380,Open Data
c_d150,Open data
c_a352,Open Data
c_l219,Open Data (AperTO)
c_c103,Open Data
c_c528,Open data
c_i871,Open Data
c_d740,OpenData
c_e917,Open Data
c_g479,E-Government e Open Data
c_l736,Open Data
c_d243,Open Data
c_f045,Open Data
c_i076,Open Data
c_i975,Open Data
