ipa,license,other
c_e801,http://creativecommons.org/licenses/by/3.0/it/deed.it,licenza creative commons CC BY 3.0 IT
c_e694,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione Non Commerciale (CC BY-NC 3.0 IT)
c_d292,http://creativecommons.org/licenses/by-nc/2.5/it/,Creative Commons Attribuzione – Non commerciale 2.5 Italia (CC BY-NC 2.5)
c_m314,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_b848,http://creativecommons.org/licenses/by-sa/2.5/it/,
c_g963,http://creativecommons.org/licenses/by-sa/2.5/it/,
c_l769,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_a730,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_e620,http://creativecommons.org/licenses/by-nc-sa/2.5/it/deed.it,Creative Commons Public License BY-CN-SA 2.5
c_m355,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_g922,http://creativecommons.org/licenses/by-nc-sa/3.0/it/,Creative Commons
c_l378,http://creativecommons.org/licenses/,creative commons
c_a771,http://creativecommons.org/licenses/by-nc/2.5/it/,Creative Commons Attribuzione - Non commerciale 2.5 Italia (CC BY-NC 2.5)
c_l840,http://creativecommons.org/licenses/by-nc/2.5/it/,Creative Commons   Attribuzione - Non commerciale 2.5 Italia (CC BY-NC 2.5)
c_a458,http://creativecommons.org/licenses/by-sa/2.5/it/,
c_c388,https://creativecommons.org/licenses/by/4.0/,Licenza CC-BY 4.0
c_e876,http://creativecommons.org/licenses/by-nc-sa/2.5/it/deed.it,Creative Commons Public License BY
c_l211,http://creativecommons.org/licenses/by/2.5/it/,Creative Commons (CCBY) (apre il link in una nuova finestra)
c_l483,https://creativecommons.org/licenses/by/4.0/deed.it,http://creativecommons.org/licenses/by/4.0/deed.it
c_h706,http://creativecommons.org/licenses/by-nc/2.5/it/,Creative Commons Attribuzione - Non commerciale 2.5 Italia (CC BY-NC 2.5)
c_i286,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione Non Commerciale (CC BY-NC 3.0 IT)
c_a334,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione Non Commerciale (CC BY-NC 3.0 IT)
c_c759,http://creativecommons.org/licenses/by-nc/2.5/it/,Creative Commons Attribuzione – Non commerciale 2.5 Italia (CC BY-NC 2.5)
c_d566,http://creativecommons.org/licenses/by/3.0/it/,Creative Commons - Attribuzione Non Commerciale (CC BY-NC 3.0 IT)
c_f808,http://creativecommons.org/licenses/by/3.0/it/,Licenza Creative Commons
c_h683,http://creativecommons.org/licenses/by/3.0/it/legalcode,http://creativecommons.org/licenses/by/3.0/it/legalcode
