ipa,homepage,status_code
c_g799,http://www.comunedipollutri.it,200
c_g955,http://www.comune.pozzodadda.mi.it,200
c_f493,http://www.montefalcone.it,200
c_i978,http://www.striano.gov.it,200
c_d284,http://www.comune.desenzano.brescia.it,200
c_b193,http://www.comune.brittoli.pe.it,200
c_m288,http://www.comune.castiadas.ca.it,200
c_i950,http://www.comune.sternatia.le.it,200
c_b805,http://www.comune.caronnopertusella.va.it,200
c_l828,http://www.comune.viagrande.ct.it,200
c_g969,http://www.comune.pradamano.ud.it,200
c_e818,http://www.comune.magnacavallo.mn.it,200
c_l182,http://www.comune.tivoli.rm.it,200
c_l169,http://www.comune.tignale.bs.it,200
c_m277,http://www.comunesanferdinando.rc.it,ConnectionError
c_b144,http://www.comune.brenna.co.it,200
c_i011,http://comune.sanmartinoinrio.re.it/,200
c_f322,http://www.comune.monacilioni.cb.it,200
c_g982,http://www.comune.pramollo.to.it,200
c_i777,http://www.comune.socchieve.ud.it,200
c_d253,http://www.comune.dasa.vv.it,200
c_e159,http://www.comune.grazzanobadoglio.at.it/,200
c_b636,http://www.comune.cantiano.pu.it,200
c_c528,http://www.comune.cerreto.asti.it,200
c_d247,http://www.dantadicadore.info,200
c_f450,http://www.comune.montecalvo.pu.it,200
c_f336,http://www.comune.moncalvo.at.it,200
c_a459,http://www.comune.arzignano.vi.it,200
c_g028,http://www.comuneolgiateolona.it,200
c_m263,http://www.comune.portocesareo.le.it,200
c_b150,http://www.comune.brenta.va.it,200
c_a471,http://www.comune.asolo.tv.it,200
c_h333,http://www.comune.rivalba.to.it,200
c_d509,http://www.comune.fascia.ge.it,200
c_c266,http://www.castelsanpietroromano.rm.gov.it,200
c_l155,http://www.comune.teverola.ce.it,200
c_b178,http://www.comune.brignano.bg.it,200
c_e617,http://www.comune.lissone.mb.it,200
c_e171,http://www.comune.grezzana.vr.it,200
c_c500,http://www.comune.ceregnano.ro.it,200
c_l633,http://www.comune.valmacca.it,503
c_g766,http://www.comune.poggiopicenze.aq.it/,200
c_h455,http://www.comune.roccellavaldemone.me.it,200
c_i993,http://www.comune.succivo.ce.it,200
c_a317,http://www.comune.antronaschieranco.vb.it,200
c_f478,http://www.comune.montecopiolo.pu.it,200
c_g772,http://www.poglianomilanese.org,200
c_h441,http://comune.roccasantostefano.rm.it,200
c_a303,http://www.comune.anoia.rc.it,200
c_e165,http://www.comune.gressan.ao.it,200
c_l627,http://www.comune.vallodinera.pg.it,200
c_c272,http://www.comune.castelsardo.ss.it,200
c_a465,http://www.comune.asiago.vi.it,200
c_h327,http://www.comune.rivamonteagordino.bl.it,200
c_f685,http://www.comunemontone.it,200
c_h870,http://www.comune.san-giacomo-delle-segnate.mn.it,200
c_c925,http://www.comune.comezzanocizzago.bs.it,200
c_d092,http://www.comune.cossano.to.it,200
c_b385,http://www.comunecalatafimisegesta.gov.it,200
c_a854,http://www.comune.biccari.fg.it,200
c_a698,http://www.comune.basico.me.it,200
c_b391,http://www.comune.calciano.mt.it,200
c_d938,http://www.comune.gattinara.vc.it,200
c_c931,http://www.comune.commezzadura.tn.it,200
c_e398,http://www.gemeinde.latsch.bz.it,200
c_d086,http://www.comune.cosenza.it,200
c_f849,http://www.comune.naturno.bz.it,200
c_c919,http://www.santostefanodicadore.info,200
c_f861,http://www.comunenegrar.it,200
c_h694,http://www.comune.sale.al.it,200
c_d910,http://www.comune.garbagna.al.it,200
c_l380,http://www.comune.trenzano.bs.it,200
c_h858,http://www.comune.sangenesioatesino.bz.it,200
c_d051,http://www.comune.cortanze.at.it,200
c_f646,http://www.comune.montesilvano.pe.it,200
c_a129,http://www.comune.albano.bg.it,200
c_g558,http://www.comune.pianengo.cr.it,200
c_a897,http://www.comunebivongi.gov.it,200
c_f120,http://www.comunemenaggio.info,200
c_i213,http://www.comune.santalessioconvialone.pv.it,200
c_e429,http://www.comunelamon.gov.it,200
c_b346,http://www.comune.cadorago.co.it,200
c_c058,http://www.comunecastelbaronia.it,200
c_d737,http://www.comune.fossalto.cb.it,200
c_b352,http://www.comune.cagli.ps.it,200
c_a883,http://www.comune.bisceglie.bt.it,200
c_h119,http://www.comune.quartucciu.ca.it,200
c_f134,http://www.comune.mercallo.va.it,200
c_i207,http://www.comunesgcolle.gov.it,200
c_d045,http://www.comune.corsico.mi.it,200
c_l419,http://www.comune.tricase.le.it,200
c_b434,http://www.comune.caluscodadda.bg.it/,200
c_i549,http://www.comune.scorrano.le.it,200
c_h657,http://www.comune.sacile.pn.it,200
c_g564,http://www.comune.pianico.bg.it,200
c_l431,http://www.comune.tripi.me.it,200
c_c702,http://www.cineto.it,200
c_e373,http://www.comune.istrana.tv.it,200
c_e415,http://www.comune.lainate.mi.it,200
c_l357,https://trecchina.gov.it/,200
c_c064,http://www.comune.castelboglione.at.it/,200
c_h131,http://www.comune.quintoditreviso.tv.it,200
c_g202,http://www.comune.ozegna.to.it,200
c_a673,http://www.comune.barone.to.it,200
c_a667,http://www.comunebarisciano.it,200
c_f108,http://www.comune.melissa.kr.it,200
c_e401,http://www.comunelaerru.ss.it,200
c_c070,http://www.comune.servigliano.fm.it/,200
c_d079,http://www.corvara.eu,200
c_l425,http://www.comune.triggiano.ba.it,200
c_c716,http://www.comune.ciorlano.ce.it,200
c_b408,http://www.comune.calestano.pr.it,200
c_e367,http://www.comune.ispra.va.it,200
c_a101,http://www.comune.aiellodelsabato.av.it,200
c_h643,http://www.comune.rutigliano.ba.it,200
c_g570,http://www.comune.pianoro.bo.it,200
c_l342,http://www.comune.travedonamonate.va.it,200
c_e400,http://www.comune.laconi.or.it,200
c_f109,http://www.comune.melissano.le.it,200
c_a666,http://www.comune.barile.pz.it,200
c_g217,http://www.comune.padernofranciacorta.bs.it,200
c_g571,http://www.comune.piansano.vt.it,200
c_h642,http://www.comune.russi.ra.it,200
c_a100,http://www.comunediaielli.it,200
c_e366,http://www.comune.ispica.rg.it,200
c_b409,http://www.comune.calice-ligure.sv.it,200
c_c717,http://santamariadelcedro.asmenet.it,200
c_l424,http://www.retecivica.trieste.it,200
c_d078,http://www.comune.corvara.pe.it,200
c_e372,http://www.comune.vasto.ch.it,200
c_c703,http://www.comune.cingiadebotti.cr.it,200
c_g565,http://www.comune.pianiga.ve.it,200
c_i548,http://www.comune.scordia.ct.it,200
c_g203,http://www.comune.ozieri.ss.it,200
c_h130,http://www.comune.quintano.cr.it,200
c_c065,http://www.comune.castelbolognese.ra.it,200
c_l356,http://www.comune.trecate.no.it,200
c_m048,http://www.comune.villorba.tv.it,200
c_e414,http://www.comunelaigueglia.net,200
c_i206,http://www.comune.santagiustina.bl.it,200
c_f135,http://www.comune.mercatellosulmetauro.pu.it,200
c_a882,http://www.comune.bisacquino.pa.it,200
c_h118,http://www.comune.quartusantelena.ca.it,200
c_m060,http://www.comune.vinovo.to.it,200
c_b435,http://www.comune.caluso.to.it/,200
c_l418,http://www.comune.tricarico.mt.it,200
c_d044,http://www.comune.corsano.le.it,200
c_g559,http://www.comune.pianezza.to.it,200
c_a128,http://www.comune.albanella.sa.it,200
c_d050,http://www.comune.cortandone.at.it,200
c_d736,http://www.comunedifossa.it/,200
c_c059,http://www.comune.castelbelforte.gov.it,200
c_e428,http://www.comune.lambrugo.co.it,200
c_a896,http://www.comune.bivona.ag.it,200
c_d905,http://www.comune.gandino.bg.it,ReadTimeout
c_h859,http://www.comune.sangenesio.pv.it,200
c_h681,http://www.comune.salabiellese.bi.it,200
c_f874,http://www.comune.nerviano.mi.it,200
c_h695,http://www.salelanghe.it,ConnectionError
c_c918,http://www.comune.comeglians.ud.it,200
c_d911,http://www.comune.garbagna.no.it,200
c_b390,http://www.comune.calci.pi.it,200
c_a841,http://www.comune.biancavilla.ct.it/,200
c_a699,http://www.comune.basiglio.mi.it,200
c_h865,http://www.comune.sangervasiobresciano.bs.it,200
c_f690,http://www.comune.montorio.te.it,200
c_f848,http://www.comune.naso.me.it,200
c_d087,http://www.comunecosiodiarroscia.info,200
c_c930,http://www.comune.commessaggio.mn.it,200
c_d093,http://www.comune.cossanobelbo.cn.it,200
c_a855,http://www.comune.bicinicco.ud.it,200
c_b384,http://www.comune.calatabiano.ct.it,200
c_c515,http://www.comune.cerisano.cs.it,200
c_e164,http://www.comune.gremiasco.al.it,200
c_i986,http://www.comune.strozza.bg.it,200
c_h440,http://WWW.COMUNE.ROCCASANTAMARIA.TE.IT,200
c_g773,http://www.comune.pognanalario.co.it,200
c_h326,http://www.comune.rittana.cn.it,200
c_g015,http://www.comune.olbia.ot.it,200
c_a464,http://comune.ascrea.ri.it,200
c_e602,http://www.comune.linguaglossa.ct-egov.it,ReadTimeout
c_l140,http://www.comunetertenia.it,200
c_c273,http://www.comune.castelseprio.va.it,200
c_b179,http://www.comune.brignanofrascata.al.it,200
c_l154,http://www.comune.teulada.ca.it,200
c_c267,http://www.comune.castelsantangelosulnera.mc.it/,200
c_d508,http://www.comune.fasano.br.it,200
c_g001,http://www.comune.odolo.bs.it,200
c_a470,http://www.comune.asola.mn.it,200
c_f479,http://www.comune.montecorice.sa.it,200
c_i992,http://www.comune.subiaco.rm.it,200
c_h454,http://www.comune.roccavivara.cb.it,200
c_g767,http://www.comune.poggioreale.tp.it,200
c_l632,http://www.comune.valleve.bg.it,200
c_c501,http://www.comune.cerenzia.kr.it,200
c_e170,http://www.comune.grezzago.mi.it,200
c_g997,http://www.comune.pratiglione.to.it,200
c_d246,http://comune.dambel.tn.it,200
c_c529,http://www.comune.cerreto-guidi.fi.it,200
c_b637,http://www.comune.cantoira.to.it,200
c_e158,http://www.comunedigrazzanise.it,200
c_m262,http://www.comunedicellole.it,200
c_d520,http://www.comune.favria.to.it,200
c_a458,http://www.comune.arzergrande.pd.it,200
c_f337,http://www.comune.moncestino.al.it,200
c_f323,http://www.comune.monale.at.it,200
c_b145,http://www.comunebrennero.eu,200
c_m276,http://www.comune.santantoniodigallura.ot.it,200
c_l168,http://www.comune.tigliole.at.it,200
c_f445,http://www.comune.montebruno.ge.it,200
c_h468,http://www.comune.rocchettatanaro.at.it,200
c_i945,http://www.comune.stefanaconi.vv.it,200
c_g968,http://comunepradalunga.it,200
c_b810,http://www.comunecarovilli.is.it,ConnectionError
c_e819,http://www.comune.magnago.mi.it,200
c_l183,http://www.comune.tizzano-val-parma.pr.it,200
c_l197,http://www.comune.tolve.pz.it,200
c_m289,http://www.comunedimassadisomma.it,200
c_l829,http://www.comune.viale.at.it,200
c_b804,http://www.comune.caronia.me.it,200
c_i951,http://www.comune.stezzano.bg.it,200
c_h497,http://www.comune.roisan.ao.it,200
c_l801,http://www.comune.verzegnis.ud.it,200
c_f492,http://www.comune.montefalco.pg.it,200
c_g954,http://www.comune.pozzilli.is.it,200
c_e825,http://www.comune.magomadas.or.it,200
c_b192,http://www.comune.brissogne.ao.it,200
c_c298,http://comunecastiglionemessermarino.ch.it,ConnectionError
c_0res,http://www.comune.cortebrugnatella.pc.it,200
c_g798,http://www.comune.pollone.bi.it,200
c_f486,http://www.comune.montedimalo.vi.it,200
c_g940,http://www.comune.postua.vc.it,200
c_l815,http://www.comune.vetto.re.it,200
c_b838,http://www.comune.carro.sp.it,200
c_d291,http://www.dianoalba.gov.it,200
c_l752,http://www.comune.verdellino.bg.it,200
c_c461,http://www.comune.ceneselli.ro.it,200
c_h534,http://www.comune.ronciglione.vt.it,200
c_g607,http://www.comunepietrabruna.it,200
c_f519,http://www.comune.montegiordano.cs.it,200
c_g161,http://www.osnago.net,200
c_d468,http://www.comune.faidellapaganella.tn.it,200
c_l034,http://www.comune.talamello.rn.it,200
c_c307,http://www.comune.castiglionetorinese.to.it,200
c_b019,http://www.comune.borgomanero.no.it,200
c_l020,http://www.comune.suzzara.mn.it,200
c_c313,http://www.comune.castiglionedorcia.siena.it,200
c_i158,http://www.comune.sanseverinomarche.mc.it,200
c_h246,http://www.comune.retorbido.pv.it,200
c_g613,http://www.comune.pietraferrazzana.ch.it,200
c_a262,http://www.comune.amelia.tr.it,200
c_e004,http://www.comune.ghilarza.or.it,200
c_ca,http://www.conservatoriocagliari.it,200
c_l746,http://www.comune.verbania.it,200
c_h508,http://www.comune.romanengo.cr.it,200
c_b743,http://www.comune.carbone.pz.it,200
c_d332,http://www.comune.domodossola.vb.it,ReadTimeout
c_d454,http://www.comune.fabro.tr.it,200
c_e992,http://www.comune.martis.ss.it,200
c_l008,http://www.comunedisupersano.gov.it/,200
c_b025,http://www.comune.borgonovo.pc.it,200
c_m316,http://www.comune.mappano.to.it,200
c_f243,http://www.comune.misano.bg.it,200
c_i170,http://www.comune.santacaterinadelloionio.cz.it,200
c_f257,http://www.comune.modena.it/,200
c_i164,http://www.comune.sansostene.cz.it,200
c_a538,http://www.comune.badiapavese.pv.it,200
c_g149,http://www.comune.orzinuovi.bs.it,200
c_d440,http://www.comune.esperia.fr.it,200
c_e986,http://www.comune.martinafranca.ta.it,200
c_b031,http://www.comune.borgoricco.pd.it,200
c_m302,http://www.comune.montigliomonferrato.at.it,200
c_e038,http://www.comune.gioiadelcolle.ba.it,200
c_f531,http://www.comunemonteiasi.gov.it,200
c_i602,http://www.comune.senago.mi.it,200
